student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score,Total Screen Time Check
1.00,18.00,Other,High School,7.64,1.56,2.20,3.05,2.19,6.52,6.47,81.00,38.00,1.00,0.00,Good,10.00,43.05,31.77,73.65,50.16,7.44
2.00,18.00,Other,High School,2.21,2.22,2.10,1.65,2.55,5.97,6.05,111.00,339.00,0.00,0.00,Good,3.00,15.92,37.00,13.70,1.00,6.30
3.00,22.00,Male,High School,3.45,0.00,0.29,1.34,2.08,8.39,7.62,68.00,266.00,0.00,1.00,Good,8.00,27.39,34.37,45.15,18.30,3.71
4.00,17.00,Other,High School,5.75,2.08,3.01,2.27,2.20,6.31,11.67,113.00,480.00,1.00,1.00,Poor,3.00,22.31,77.31,20.92,9.37,7.48
5.00,19.00,Other,High School,6.83,1.72,3.33,2.65,0.70,8.01,10.02,121.00,24.00,1.00,0.00,Good,8.00,38.11,39.53,59.23,27.81,6.68
6.00,25.00,Male,Undergraduate,2.21,3.50,1.69,4.47,1.56,8.34,8.06,110.00,288.00,0.00,1.00,Average,8.00,30.52,33.64,36.20,18.53,7.72
7.00,22.00,Other,High School,4.60,2.37,1.27,3.12,1.89,7.61,11.34,19.00,123.00,1.00,1.00,Poor,6.00,33.26,62.01,37.59,10.35,6.28
8.00,17.00,Male,High School,8.77,3.78,2.09,1.76,3.13,7.62,7.27,135.00,379.00,1.00,0.00,Good,1.00,31.98,45.98,45.04,19.89,6.98
9.00,16.00,Female,Undergraduate,6.60,0.84,1.00,4.39,0.85,8.29,8.24,101.00,308.00,1.00,0.00,Average,10.00,30.23,49.44,61.83,30.73,6.24
10.00,17.00,Female,High School,3.98,0.16,1.29,3.20,2.13,5.43,7.79,142.00,415.00,1.00,0.00,Average,9.00,20.26,60.78,29.06,8.99,6.62
11.00,25.00,Other,Postgraduate,2.28,2.69,2.95,3.27,0.60,6.40,4.94,146.00,24.00,1.00,1.00,Poor,8.00,19.21,48.25,24.48,11.65,6.82
12.00,16.00,Male,High School,5.99,2.60,1.06,0.89,2.72,7.08,7.68,130.00,157.00,0.00,0.00,Good,2.00,25.04,36.14,31.13,15.01,4.67
13.00,16.00,Other,Postgraduate,4.88,1.65,0.00,3.68,1.39,4.96,8.80,93.00,193.00,1.00,0.00,Good,10.00,32.97,51.79,48.33,22.09,5.07
14.00,25.00,Other,Undergraduate,5.33,2.07,1.31,3.84,1.63,6.17,10.88,58.00,298.00,0.00,0.00,Poor,7.00,31.13,50.49,39.30,22.12,6.78
15.00,19.00,Other,Postgraduate,5.31,1.21,0.92,1.97,0.22,7.19,6.94,139.00,34.00,0.00,0.00,Average,6.00,31.07,28.00,50.61,29.83,3.11
16.00,20.00,Other,Undergraduate,3.85,3.09,3.36,2.13,2.75,5.09,7.39,97.00,413.00,0.00,0.00,Average,4.00,21.66,41.97,26.95,14.69,8.24
17.00,16.00,Other,Undergraduate,4.91,1.57,2.79,3.34,0.68,8.00,5.63,78.00,297.00,1.00,1.00,Poor,4.00,32.28,58.06,28.09,13.12,6.81
18.00,16.00,Male,Undergraduate,3.44,3.74,2.29,4.32,0.49,6.75,6.21,60.00,134.00,1.00,1.00,Good,8.00,27.96,60.78,37.66,14.18,7.10
19.00,20.00,Other,Postgraduate,5.08,1.57,1.82,3.75,1.74,6.23,8.47,85.00,56.00,1.00,0.00,Poor,2.00,13.74,54.29,24.66,6.54,7.31
20.00,17.00,Other,Postgraduate,0.56,2.33,2.00,0.62,0.31,5.48,7.07,133.00,362.00,0.00,0.00,Poor,5.00,34.27,48.32,11.13,1.00,2.93
21.00,23.00,Male,Undergraduate,9.31,4.04,3.06,1.46,1.23,7.74,2.90,71.00,118.00,1.00,0.00,Good,10.00,60.72,31.88,91.52,64.09,5.75
